Application_ID,Applicant_Age,Business_Type,Business_Age,Monthly_Business_Revenue,Monthly_Business_Expenses,Monthly_Business_Profit,Existing_Business_EMI,Loan_Amount,Loan_Tenure,Number_of_Employees,Business_Registration,GST_Registration,Annual_Turnover,Business_Location_Type,Loan_Purpose,Collateral_Available,Loan_Approval
BL100462,56,Retail,6.7,188200,157700,24800,0,656000,5,3,Registered,Yes,2151000,Urban,Equipment Purchase,Yes,Approved
BL100463,48,Retail,1.4,235700,156800,80300,35500,1379000,5,5,Registered,Yes,2650000,Urban,Inventory,No,Rejected
BL100464,32,Manufacturing,8.7,592200,384300,229400,48100,5305000,10,3,Registered,Yes,6746000,Urban,Working Capital,No,Approved
BL100465,45,Retail,17.6,653200,526000,131800,74500,3462000,5,4,Registered,Yes,7172000,Semi Urban,New Branch,No,Approved
BL100466,45,Retail,0.3,87900,57900,31100,2400,247000,2,1,Registered,Yes,1062000,Urban,New Branch,Yes,Approved
BL100467,56,Restaurant,3.1,137500,106700,32500,200,827000,10,0,Registered,Yes,1763000,Urban,New Branch,Yes,Rejected
BL100468,36,Education,5.7,44400,29600,15800,6500,413000,3,0,Registered,Yes,513000,Rural,Inventory,No,Rejected
BL100469,38,Education,13.6,742500,259900,445500,105300,10324000,2,1,Registered,Yes,9371000,Urban,Inventory,Yes,Approved
BL100470,44,Education,16.5,240500,230900,4800,1900,100000,3,0,Registered,Yes,3128000,Semi Urban,Technology Upgrade,No,Rejected
BL100471,40,Healthcare,0.6,281600,210500,78500,1200,1442000,10,5,Registered,No,3053000,Semi Urban,Working Capital,No,Approved
BL100472,27,Transport,7.0,164400,105200,59000,800,573000,5,1,Registered,Yes,2006000,Rural,Technology Upgrade,Yes,Approved
BL100473,49,Wholesale,15.6,198300,170000,25300,1200,608000,5,5,Registered,Yes,2271000,Rural,Working Capital,No,Approved
BL100474,54,Other Services,1.0,391400,217000,166000,0,3859000,3,2,Unregistered,No,4800000,Urban,Business Expansion,Yes,Approved
BL100475,41,Restaurant,8.0,106100,59600,47000,5700,985000,5,1,Registered,Yes,1157000,Urban,New Branch,Yes,Approved
BL100476,29,Construction,9.0,101000,50100,49800,0,1293000,2,0,Registered,Yes,1093000,Urban,New Branch,Yes,Rejected
BL100477,39,Retail,4.5,172100,112500,59900,12700,478000,1,1,Registered,No,1894000,Semi Urban,Working Capital,No,Rejected
BL100478,32,Retail,7.2,200000,118800,81200,15100,1514000,7,1,Registered,Yes,2531000,Semi Urban,Working Capital,No,Approved
BL100479,38,Wholesale,4.2,277400,178200,100800,6600,1372000,3,1,Registered,Yes,3242000,Urban,Business Expansion,No,Approved
BL100480,42,Education,8.0,201200,98400,106000,29300,2150000,7,2,Registered,Yes,2589000,Semi Urban,Business Expansion,Yes,Approved
BL100481,46,Education,11.7,119700,70700,51800,11600,324000,1,0,Registered,No,1362000,Semi Urban,Working Capital,Yes,Rejected
BL100482,53,Retail,13.2,158200,116900,45000,18000,578000,5,2,Registered,No,1803000,Urban,Business Expansion,Yes,Rejected
BL100483,46,Restaurant,3.3,221100,189600,38200,18200,309000,2,2,Registered,No,2467000,Semi Urban,Business Expansion,No,Rejected
BL100484,30,Education,1.9,295500,202700,91300,20100,1506000,2,0,Registered,Yes,3822000,Urban,Working Capital,No,Rejected
BL100485,46,Wholesale,8.0,362100,222800,134000,35500,3773000,2,0,Registered,Yes,4570000,Semi Urban,Inventory,Yes,Approved
BL100486,37,Retail,9.4,168600,128500,39800,11400,282000,1,0,Registered,No,1840000,Semi Urban,New Branch,Yes,Rejected
BL100487,38,IT Services,1.7,130000,108300,20400,10000,573000,10,1,Registered,No,1647000,Semi Urban,Working Capital,No,Rejected
BL100488,40,Healthcare,4.7,116000,95800,17200,0,392000,5,2,Registered,No,1473000,Urban,Technology Upgrade,Yes,Rejected
BL100489,41,Healthcare,15.1,400300,298800,99400,11400,2702000,7,1,Registered,Yes,4401000,Urban,Business Expansion,No,Approved
BL100490,49,Education,4.6,153000,89000,66100,0,1654000,2,1,Registered,No,1694000,Rural,Working Capital,Yes,Approved
BL100491,44,Retail,12.5,125700,84600,44100,4700,716000,5,0,Registered,Yes,1560000,Urban,Equipment Purchase,No,Rejected
BL100492,29,Restaurant,3.6,219800,156400,63000,8900,1053000,1,1,Registered,No,2482000,Urban,New Branch,Yes,Approved
BL100493,26,Restaurant,6.0,523700,189000,314200,21500,2009000,2,5,Registered,Yes,5685000,Urban,New Branch,No,Approved
BL100494,46,Manufacturing,5.8,114200,78100,36100,9500,652000,7,1,Registered,Yes,1430000,Semi Urban,Inventory,Yes,Approved
BL100495,45,IT Services,4.9,283400,256200,13700,3800,248000,2,1,Registered,No,3538000,Rural,Working Capital,No,Rejected
BL100496,51,IT Services,6.0,151300,90300,56900,11300,1378000,7,2,Registered,Yes,1664000,Semi Urban,New Branch,No,Rejected
BL100497,39,IT Services,3.0,212500,94400,119800,29800,2356000,7,0,Registered,Yes,2380000,Semi Urban,Business Expansion,Yes,Rejected
BL100498,43,IT Services,1.7,323400,191900,119800,55800,1537000,1,2,Registered,No,3645000,Semi Urban,Business Expansion,No,Rejected
BL100499,44,Restaurant,4.5,412300,242800,158500,40200,1814000,10,3,Registered,Yes,5119000,Urban,Inventory,Yes,Approved
BL100500,26,Other Services,6.0,144700,119100,21200,0,521000,3,2,Registered,No,1664000,Urban,Business Expansion,No,Rejected
BL100501,25,Wholesale,1.1,311800,302400,8100,700,147000,5,3,Unregistered,Not Applicable,3585000,Urban,Technology Upgrade,No,Rejected
BL100502,47,IT Services,13.4,229200,160500,69800,4900,587000,7,4,Registered,Yes,2736000,Urban,Equipment Purchase,Yes,Approved
BL100503,43,Manufacturing,4.9,253100,144100,100300,41400,2525000,5,1,Registered,Yes,2906000,Urban,Business Expansion,Yes,Rejected
BL100504,52,Manufacturing,9.6,417200,218000,205500,25600,3185000,10,2,Registered,No,5143000,Rural,Technology Upgrade,Yes,Approved
BL100505,57,Construction,4.4,129800,105700,24100,1100,305000,7,1,Registered,Yes,1413000,Urban,Working Capital,Yes,Rejected
BL100506,37,IT Services,8.9,316400,244900,63100,1800,551000,2,0,Registered,Yes,3868000,Urban,Working Capital,No,Approved
BL100507,37,Restaurant,9.3,218400,181800,36800,4200,392000,5,2,Registered,No,2436000,Semi Urban,Business Expansion,Yes,Approved
BL100508,28,Manufacturing,8.0,404500,247300,151100,16300,1096000,3,1,Registered,No,4395000,Semi Urban,New Branch,Yes,Rejected
BL100509,45,Other Services,1.1,254200,226800,23500,2000,548000,2,6,Registered,No,2960000,Urban,Inventory,Yes,Rejected
BL100510,23,Restaurant,3.0,181600,127600,49400,16400,1027000,3,1,Registered,Yes,2328000,Semi Urban,Inventory,Yes,Rejected
BL100511,31,Manufacturing,11.0,335300,196900,138300,21600,4027000,1,1,Registered,No,3797000,Semi Urban,Working Capital,No,Approved
BL100512,43,Construction,5.6,141400,58400,82300,15500,822000,3,1,Registered,No,1590000,Urban,Equipment Purchase,Yes,Rejected
BL100513,34,Education,4.9,156300,95800,59700,18600,798000,1,0,Registered,No,1887000,Semi Urban,Inventory,No,Approved
BL100514,40,Construction,4.6,126700,77500,48900,15800,1044000,2,1,Registered,No,1541000,Urban,Technology Upgrade,Yes,Rejected
BL100515,38,Restaurant,6.2,136500,73800,63300,6900,1224000,10,0,Registered,No,1668000,Urban,Equipment Purchase,Yes,Approved
BL100516,30,Construction,9.2,40000,29500,10300,3900,196000,10,1,Registered,No,492000,Urban,Working Capital,No,Rejected
BL100517,23,Restaurant,3.0,146300,86300,54200,10600,446000,5,0,Registered,Yes,1783000,Semi Urban,Business Expansion,Yes,Rejected
BL100518,46,IT Services,11.9,190200,105800,84200,9400,547000,10,1,Registered,No,2122000,Semi Urban,Working Capital,Yes,Approved
BL100519,38,Retail,7.1,313700,175900,131700,44300,3072000,3,2,Registered,No,3771000,Semi Urban,Business Expansion,Yes,Approved
BL100520,43,Restaurant,5.2,114400,56700,60300,15600,1386000,3,1,Registered,Yes,1294000,Semi Urban,Business Expansion,No,Rejected
BL100521,39,Wholesale,6.2,147200,89200,59300,14500,396000,3,0,Registered,Yes,1766000,Urban,Equipment Purchase,Yes,Approved
BL100522,39,Retail,11.6,178800,108900,73400,10700,1904000,1,2,Registered,Yes,1987000,Urban,Business Expansion,No,Approved
BL100523,41,Construction,3.4,314700,204000,107200,21400,2616000,3,3,Registered,Yes,3828000,Rural,Business Expansion,No,Approved
BL100524,38,IT Services,4.6,221500,161600,63800,5800,715000,3,1,Registered,Yes,2807000,Semi Urban,Business Expansion,No,Approved
BL100525,37,Wholesale,3.7,248900,218800,24500,4100,480000,3,1,Registered,Yes,3227000,Rural,Equipment Purchase,Yes,Rejected
BL100526,31,IT Services,4.7,337500,273800,63500,8700,782000,3,2,Registered,Yes,4343000,Urban,Business Expansion,Yes,Approved
BL100527,62,Construction,6.0,268800,128100,135800,32100,3533000,3,2,Registered,No,3019000,Rural,Equipment Purchase,Yes,Approved
BL100528,49,Transport,11.6,138500,110300,29800,12800,303000,5,1,Registered,Yes,1646000,Semi Urban,Equipment Purchase,Yes,Approved
BL100529,53,Construction,9.2,554700,455300,118500,20600,3072000,10,0,Registered,Yes,5999000,Semi Urban,Working Capital,No,Approved
BL100530,51,Manufacturing,5.8,63500,49400,14500,4600,316000,7,0,Registered,Yes,744000,Rural,Technology Upgrade,Yes,Approved
BL100531,37,Transport,5.7,340800,211700,118900,26200,1243000,3,5,Registered,Yes,4118000,Urban,Technology Upgrade,No,Approved
BL100532,38,Wholesale,8.1,258900,225300,30100,11200,806000,2,0,Registered,Yes,3253000,Semi Urban,Technology Upgrade,Yes,Approved
BL100533,40,Retail,4.4,419400,236200,208900,95100,5411000,7,2,Registered,Yes,4808000,Semi Urban,New Branch,Yes,Approved
BL100534,37,Retail,3.3,172800,141500,34100,4200,725000,2,3,Registered,No,2035000,Semi Urban,Business Expansion,Yes,Rejected
BL100535,48,Wholesale,8.2,147600,120300,25000,0,449000,2,2,Registered,Yes,1901000,Urban,Working Capital,Yes,Approved
BL100536,33,Wholesale,3.4,102600,76400,28100,400,593000,2,0,Registered,Yes,1270000,Urban,Working Capital,No,Approved
BL100537,30,Healthcare,2.8,105000,46900,58400,20300,1289000,3,2,Registered,No,1276000,Urban,Business Expansion,No,Rejected
BL100538,28,Construction,8.0,179800,127000,62200,15400,527000,1,2,Registered,Yes,2156000,Urban,Equipment Purchase,No,Rejected
BL100539,37,IT Services,0.9,119900,94500,25600,1400,400000,2,0,Registered,Yes,1442000,Semi Urban,New Branch,Yes,Rejected
BL100540,36,IT Services,0.7,129700,89000,40000,17600,1138000,2,1,Unregistered,No,1494000,Urban,New Branch,No,Rejected
BL100541,34,IT Services,5.5,105200,70400,34600,5300,850000,5,2,Registered,Yes,1152000,Semi Urban,Working Capital,Yes,Rejected
BL100542,41,Other Services,8.8,369700,233400,133400,19500,1047000,5,1,Registered,No,4507000,Urban,Working Capital,Yes,Approved
BL100543,30,Construction,5.1,128900,78800,48300,7500,1284000,10,0,Registered,Yes,1662000,Urban,Inventory,Yes,Approved
BL100544,47,Restaurant,4.4,253000,168900,78400,30600,588000,2,0,Registered,Yes,3338000,Semi Urban,Inventory,No,Rejected
BL100545,30,Construction,10.0,184300,154000,28500,2400,639000,5,0,Registered,Yes,2033000,Semi Urban,New Branch,Yes,Approved
BL100546,29,Wholesale,3.6,244800,144100,104500,41000,1472000,2,2,Registered,Yes,2763000,Semi Urban,Business Expansion,Yes,Approved
BL100547,34,Wholesale,6.0,169800,124100,44800,12700,561000,5,2,Registered,Yes,2121000,Urban,Business Expansion,Yes,Approved
BL100548,39,Education,4.8,316500,110800,189900,76900,3330000,2,4,Registered,No,3841000,Rural,Inventory,No,Approved
BL100549,48,Transport,6.7,287300,175700,104000,32700,821000,3,0,Registered,No,3703000,Rural,Inventory,Yes,Approved
BL100550,39,Education,4.9,410700,317400,99100,25100,2894000,3,3,Registered,Yes,4790000,Rural,New Branch,Yes,Approved
BL100551,26,Wholesale,6.0,133700,108400,29600,9000,857000,10,1,Registered,Yes,1629000,Urban,Technology Upgrade,No,Rejected
BL100552,44,Construction,6.1,119600,64000,53600,11500,541000,2,1,Registered,Yes,1552000,Urban,Technology Upgrade,No,Approved
BL100553,44,Wholesale,4.3,157400,112800,42600,4000,1237000,7,1,Registered,No,1952000,Semi Urban,Equipment Purchase,Yes,Approved
BL100554,35,Wholesale,1.9,212800,166200,42700,12800,1237000,5,1,Registered,No,2411000,Semi Urban,New Branch,No,Approved
BL100555,42,IT Services,0.3,272700,156700,120500,22800,1076000,3,3,Unregistered,Not Applicable,3452000,Urban,Working Capital,No,Rejected
BL100556,53,Transport,8.5,136500,63100,76200,29700,482000,5,1,Registered,Yes,1522000,Urban,New Branch,No,Approved
BL100557,32,Retail,2.8,224100,112900,111900,43000,1931000,3,0,Registered,No,2477000,Urban,Inventory,Yes,Approved
BL100558,49,Construction,6.1,178200,84100,89900,25900,1268000,5,1,Registered,Yes,2070000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100559,51,Wholesale,1.9,169400,130700,40000,14000,703000,2,0,Registered,Yes,2029000,Urban,Working Capital,Yes,Rejected
BL100560,42,Construction,10.4,197700,136800,61800,16900,1135000,5,1,Registered,Yes,2461000,Semi Urban,New Branch,Yes,Approved
BL100561,29,Retail,9.0,489200,304700,187800,51700,4524000,3,5,Registered,Yes,6209000,Urban,Inventory,No,Approved
BL100562,52,Restaurant,3.0,319400,179800,132900,14000,2812000,10,2,Registered,Yes,3941000,Urban,Equipment Purchase,Yes,Approved
BL100563,48,Wholesale,9.1,373000,306500,58200,13900,1063000,3,2,Registered,Yes,4699000,Semi Urban,Equipment Purchase,No,Approved
BL100564,45,IT Services,10.3,247100,160800,78300,20900,1413000,10,2,Registered,Yes,3261000,Urban,Business Expansion,No,Approved
BL100565,40,Retail,13.9,571900,411700,173400,44300,4950000,2,4,Registered,Yes,6214000,Rural,Equipment Purchase,Yes,Approved
BL100566,50,Retail,2.1,339100,189900,157200,37900,2061000,2,3,Registered,No,4363000,Urban,Business Expansion,Yes,Approved
BL100567,32,IT Services,4.4,84500,44400,37400,8700,395000,7,0,Registered,No,1025000,Rural,Business Expansion,Yes,Rejected
BL100568,48,IT Services,5.5,307600,249200,53500,27400,724000,7,1,Registered,Yes,3610000,Semi Urban,Working Capital,No,Rejected
BL100569,37,Restaurant,4.7,243500,167800,71800,15800,1788000,3,0,Registered,Yes,2730000,Rural,New Branch,Yes,Rejected
BL100570,25,Other Services,5.0,288700,202200,91700,28600,1206000,1,1,Registered,Yes,3805000,Semi Urban,Equipment Purchase,Yes,Approved
BL100571,31,Manufacturing,8.0,80800,58200,22700,4600,491000,3,0,Registered,Yes,991000,Rural,Equipment Purchase,No,Rejected
BL100572,44,Construction,2.7,82600,66600,18500,4600,279000,7,0,Registered,Yes,1015000,Urban,Equipment Purchase,Yes,Rejected
BL100573,42,Manufacturing,18.4,187800,155800,30900,2300,481000,3,1,Registered,Yes,2098000,Urban,Working Capital,Yes,Approved
BL100574,44,Retail,8.7,69300,36900,30500,3500,727000,5,0,Registered,Yes,885000,Semi Urban,Business Expansion,No,Approved
BL100575,37,Transport,4.5,303200,195400,103300,13300,1083000,3,2,Registered,Yes,3631000,Urban,Technology Upgrade,No,Rejected
BL100576,42,Healthcare,1.3,217200,118200,95000,0,1977000,1,1,Registered,Yes,2405000,Urban,Working Capital,No,Approved
BL100577,46,Restaurant,4.9,639600,448600,204500,45200,4026000,5,5,Registered,No,7013000,Urban,Equipment Purchase,No,Rejected
BL100578,61,Wholesale,13.3,248900,156200,102300,7100,2593000,2,2,Registered,Yes,3275000,Semi Urban,Working Capital,No,Approved
BL100579,36,Transport,5.9,301400,192200,112200,4700,3133000,3,2,Registered,No,3265000,Rural,Equipment Purchase,Yes,Approved
BL100580,49,Transport,4.7,281400,182700,94800,49900,894000,7,0,Registered,Yes,3627000,Urban,Technology Upgrade,Yes,Approved
BL100581,46,Transport,8.0,208400,133900,75600,28500,920000,2,4,Registered,Yes,2314000,Rural,Inventory,No,Approved
BL100582,41,Education,5.2,213300,206900,4300,2200,100000,3,1,Registered,Yes,2659000,Semi Urban,Inventory,No,Rejected
BL100583,28,Manufacturing,8.0,192200,82100,109300,21300,3275000,2,1,Registered,Yes,2175000,Urban,New Branch,Yes,Rejected
BL100584,53,Construction,10.7,47500,31300,14600,2300,301000,1,0,Registered,Yes,574000,Semi Urban,New Branch,No,Rejected
BL100585,42,Other Services,3.0,389800,188600,204900,54600,5844000,3,2,Registered,Yes,4239000,Semi Urban,Inventory,Yes,Approved
BL100586,35,Restaurant,12.1,392100,274400,116400,30800,3390000,1,2,Registered,Yes,5029000,Rural,Inventory,No,Rejected
BL100587,32,Healthcare,2.9,333800,165100,174200,27300,4826000,2,1,Registered,Yes,3810000,Semi Urban,Technology Upgrade,No,Approved
BL100588,42,Transport,6.6,209700,140500,72300,6800,896000,7,2,Registered,Yes,2657000,Urban,Working Capital,No,Approved
BL100589,32,Manufacturing,12.0,183300,107000,74300,22200,1349000,1,2,Registered,Yes,2365000,Urban,Equipment Purchase,No,Approved
BL100590,35,IT Services,6.4,100600,82300,20300,0,236000,5,3,Registered,Yes,1201000,Semi Urban,Working Capital,No,Rejected
BL100591,35,Education,1.3,93800,45500,46100,13700,753000,3,0,Unregistered,Not Applicable,1230000,Rural,Working Capital,Yes,Rejected
BL100592,40,IT Services,7.0,139200,69900,76600,12600,1243000,3,1,Registered,No,1719000,Semi Urban,Business Expansion,Yes,Rejected
BL100593,45,Restaurant,9.8,224600,119000,99600,32500,2782000,3,0,Registered,Yes,2534000,Semi Urban,Equipment Purchase,Yes,Approved
BL100594,37,Other Services,9.9,248700,180900,71500,26500,1621000,3,0,Registered,Yes,2946000,Rural,Inventory,No,Approved
BL100595,38,Restaurant,11.9,145900,102900,46600,13700,1109000,1,1,Registered,No,1677000,Semi Urban,Working Capital,Yes,Approved
BL100596,41,Retail,6.8,90900,58100,33100,1100,786000,7,0,Registered,Yes,1143000,Rural,Working Capital,No,Rejected
BL100597,33,Manufacturing,10.8,133300,101500,29000,0,554000,2,2,Registered,No,1701000,Urban,Equipment Purchase,Yes,Rejected
BL100598,35,Other Services,2.7,185100,70900,111100,0,1587000,5,1,Registered,Yes,2049000,Semi Urban,Working Capital,Yes,Approved
BL100599,36,Restaurant,9.4,77900,50300,26000,3500,679000,5,1,Registered,Yes,881000,Semi Urban,Business Expansion,No,Rejected
BL100600,43,Education,4.3,221900,149900,72000,0,1032000,2,2,Registered,Yes,2418000,Urban,Business Expansion,Yes,Approved
BL100601,54,Education,13.8,523000,366600,164700,32500,3047000,2,8,Registered,Yes,6520000,Urban,Working Capital,Yes,Approved
BL100602,29,Retail,6.7,122800,84300,39700,2800,383000,7,1,Registered,Yes,1513000,Urban,Working Capital,Yes,Approved
BL100603,42,Construction,4.6,709000,503800,206000,24300,4165000,1,6,Registered,Yes,8057000,Urban,Working Capital,Yes,Approved
BL100604,38,Wholesale,10.9,130300,95900,30800,6200,532000,3,1,Registered,Yes,1608000,Urban,Working Capital,No,Rejected
BL100605,38,Transport,6.3,173900,161900,17900,4700,485000,1,1,Registered,Yes,2061000,Urban,Working Capital,Yes,Rejected
BL100606,36,IT Services,1.3,265700,204800,60000,4900,796000,3,0,Registered,No,3314000,Urban,Working Capital,Yes,Approved
BL100607,50,Retail,2.5,193300,93200,98600,13600,1311000,2,0,Registered,Yes,2467000,Urban,Working Capital,Yes,Approved
BL100608,23,Retail,3.0,71900,56600,15600,4000,140000,7,1,Registered,Yes,808000,Rural,Business Expansion,Yes,Rejected
BL100609,30,Retail,7.8,231000,152200,71100,13000,1249000,3,0,Registered,Yes,2856000,Urban,Equipment Purchase,Yes,Approved
BL100610,50,Manufacturing,6.9,208300,125800,82300,14700,2008000,5,4,Registered,Yes,2547000,Rural,New Branch,Yes,Rejected
BL100611,50,Transport,5.2,169800,83200,85900,26100,1850000,3,1,Registered,Yes,1997000,Urban,Equipment Purchase,Yes,Approved
BL100612,56,Restaurant,7.7,207500,132800,74000,4900,602000,3,0,Registered,Yes,2420000,Urban,New Branch,No,Rejected
BL100613,43,Restaurant,8.4,259200,182400,83100,27000,1097000,5,5,Registered,No,3401000,Semi Urban,Technology Upgrade,Yes,Approved
BL100614,44,Wholesale,1.7,116800,90600,23300,12700,322000,5,0,Registered,Yes,1275000,Rural,Working Capital,No,Approved
BL100615,23,Transport,3.0,274200,146700,127300,30900,2599000,7,2,Registered,Yes,3397000,Urban,Business Expansion,Yes,Approved
BL100616,40,Education,3.2,137900,86100,50100,6700,1249000,3,1,Registered,Yes,1777000,Urban,Working Capital,No,Rejected
BL100617,45,Restaurant,1.8,499400,306500,190700,0,5691000,3,7,Registered,No,6495000,Semi Urban,Business Expansion,No,Approved
BL100618,36,Construction,0.8,371000,224100,153100,19300,1856000,7,2,Registered,Yes,4642000,Urban,Business Expansion,No,Approved
BL100619,39,Restaurant,19.0,109300,52500,56500,14400,601000,3,2,Registered,No,1286000,Rural,Business Expansion,Yes,Approved
BL100620,51,Construction,28.1,415800,224600,188900,34600,3051000,2,1,Registered,Yes,4545000,Semi Urban,Inventory,Yes,Approved
BL100621,53,Other Services,21.2,253800,162200,79700,15300,1772000,2,0,Registered,Yes,3143000,Urban,Inventory,Yes,Approved
BL100622,42,Restaurant,10.9,273200,207600,69900,12800,1624000,3,2,Registered,Yes,3453000,Urban,Equipment Purchase,Yes,Rejected
BL100623,40,IT Services,7.2,178300,115600,56900,7200,1475000,2,3,Registered,No,2059000,Semi Urban,Working Capital,Yes,Rejected
BL100624,47,Manufacturing,4.0,161800,84600,75700,14500,1021000,2,2,Registered,Yes,1924000,Urban,Business Expansion,Yes,Rejected
BL100625,37,Wholesale,4.7,169000,108900,57200,4500,1498000,1,0,Registered,Yes,1890000,Semi Urban,Working Capital,No,Rejected
BL100626,49,Wholesale,2.0,112200,58000,49100,10500,1084000,2,0,Registered,Yes,1260000,Urban,Working Capital,No,Rejected
BL100627,35,Healthcare,5.6,64700,50100,14800,3300,100000,7,1,Registered,Yes,819000,Urban,New Branch,No,Approved
BL100628,47,Healthcare,1.2,135600,118400,16100,6600,472000,5,1,Unregistered,No,1547000,Urban,New Branch,No,Rejected
BL100629,40,IT Services,6.7,135200,93400,43200,3700,521000,3,0,Registered,Yes,1661000,Urban,Business Expansion,No,Approved
BL100630,34,Retail,2.1,103400,79200,25300,7800,198000,7,1,Registered,No,1200000,Urban,Equipment Purchase,No,Rejected
BL100631,43,Manufacturing,11.4,281900,165000,120400,39400,2003000,5,1,Registered,Yes,3372000,Urban,Working Capital,No,Rejected
BL100632,36,Wholesale,4.3,230100,162900,69500,11300,1309000,2,1,Registered,Yes,2816000,Semi Urban,Equipment Purchase,No,Approved
BL100633,49,Other Services,13.5,139300,93300,47400,4700,816000,5,2,Registered,Yes,1767000,Urban,Working Capital,Yes,Approved
BL100634,31,Transport,11.0,164900,132500,35500,14200,867000,10,1,Registered,Yes,1904000,Semi Urban,Business Expansion,Yes,Rejected
BL100635,42,Manufacturing,9.0,227300,135600,93300,500,821000,1,3,Registered,Yes,2541000,Urban,Working Capital,No,Rejected
BL100636,33,Other Services,13.0,128500,85200,43900,3400,1119000,10,0,Registered,Yes,1510000,Urban,Technology Upgrade,No,Approved
BL100637,51,Healthcare,6.4,42900,22700,20100,800,355000,3,0,Registered,Yes,540000,Urban,Inventory,Yes,Rejected
BL100638,46,IT Services,12.9,407500,308300,101300,10000,796000,3,1,Registered,Yes,4550000,Rural,Business Expansion,No,Approved
BL100639,40,Construction,7.8,185600,109500,78000,12800,2294000,1,0,Registered,Yes,2022000,Semi Urban,Equipment Purchase,Yes,Approved
BL100640,40,Retail,13.5,233800,147600,88500,37400,2430000,2,1,Registered,No,2634000,Semi Urban,Business Expansion,No,Rejected
BL100641,55,Other Services,7.1,220400,122600,97000,13300,1322000,3,1,Registered,Yes,2903000,Rural,Inventory,Yes,Approved
BL100642,47,Retail,12.5,83600,54100,33000,17000,598000,10,0,Registered,Yes,955000,Urban,Working Capital,Yes,Rejected
BL100643,33,Education,11.9,131600,100700,34900,11700,413000,5,2,Registered,Yes,1650000,Semi Urban,New Branch,No,Rejected
BL100644,48,IT Services,7.0,197200,141600,52400,6500,952000,10,1,Registered,No,2602000,Urban,Business Expansion,Yes,Approved
BL100645,35,Construction,3.1,176400,147800,28600,3600,342000,5,1,Registered,Yes,2084000,Urban,Inventory,Yes,Approved
BL100646,41,Restaurant,12.6,100600,59000,44800,10300,667000,7,1,Registered,Yes,1159000,Semi Urban,Business Expansion,Yes,Rejected
BL100647,23,Wholesale,3.0,244200,164300,75600,16000,949000,1,3,Registered,No,2954000,Semi Urban,Working Capital,No,Approved
BL100648,47,Wholesale,13.1,279700,229700,43100,1100,722000,7,0,Registered,Yes,3630000,Semi Urban,Equipment Purchase,Yes,Approved
BL100649,34,IT Services,4.1,158200,87000,79700,7200,608000,7,0,Registered,Yes,1815000,Urban,Working Capital,Yes,Approved
BL100650,38,IT Services,1.2,362800,300500,58800,0,1107000,5,2,Registered,Yes,4569000,Rural,Working Capital,No,Approved
BL100651,27,Other Services,1.0,273700,238400,24200,11200,273000,5,2,Unregistered,Not Applicable,3216000,Urban,Working Capital,No,Rejected
BL100652,42,IT Services,3.0,250700,132700,113900,25200,1145000,5,2,Registered,Yes,2943000,Urban,Technology Upgrade,No,Approved
BL100653,41,Retail,12.9,147300,142900,3100,500,100000,1,3,Registered,Yes,1641000,Urban,Working Capital,No,Rejected
BL100654,29,IT Services,4.5,179500,114400,68000,6800,1596000,2,0,Registered,Yes,2180000,Rural,Equipment Purchase,Yes,Rejected
BL100655,40,Education,8.8,327700,148700,179200,20800,2606000,10,0,Registered,Yes,3590000,Urban,Technology Upgrade,No,Approved
BL100656,38,Manufacturing,8.5,83300,44200,36700,0,884000,3,0,Registered,Yes,1030000,Semi Urban,Business Expansion,Yes,Rejected
BL100657,51,Restaurant,0.7,86600,56500,25000,5600,737000,2,0,Registered,Yes,1119000,Urban,Equipment Purchase,No,Rejected
BL100658,34,Manufacturing,9.3,155600,96400,60700,19200,1739000,5,2,Registered,No,1787000,Urban,New Branch,No,Rejected
BL100659,44,Restaurant,9.0,196400,112100,84500,36800,955000,3,0,Registered,Yes,2339000,Urban,Equipment Purchase,No,Rejected
BL100660,27,IT Services,3.1,187500,96000,96000,30600,2720000,7,0,Registered,Yes,2208000,Urban,Working Capital,Yes,Rejected
BL100661,41,Restaurant,7.7,271900,133400,135000,42200,3608000,5,2,Registered,Yes,3411000,Urban,New Branch,No,Approved
BL100662,43,Manufacturing,15.0,229800,204100,24400,9100,163000,10,2,Registered,Yes,2933000,Semi Urban,Inventory,Yes,Approved
BL100663,44,Restaurant,6.3,201300,144800,54300,9600,1592000,5,1,Registered,Yes,2351000,Rural,Working Capital,Yes,Approved
BL100664,39,IT Services,11.1,165900,133300,30500,0,884000,5,2,Registered,Yes,2064000,Urban,Business Expansion,Yes,Approved
BL100665,56,IT Services,5.5,324500,179000,148000,46900,3523000,3,2,Registered,Yes,3554000,Urban,Equipment Purchase,No,Approved
BL100666,37,Transport,17.0,408400,254100,150500,14000,3083000,1,3,Registered,Yes,4979000,Rural,Technology Upgrade,Yes,Approved
BL100667,44,Construction,2.7,166400,90100,70700,13200,2104000,1,2,Registered,No,1995000,Semi Urban,Technology Upgrade,Yes,Rejected
BL100668,37,Healthcare,7.1,251100,152900,104800,5100,1120000,5,2,Registered,Yes,2738000,Semi Urban,New Branch,Yes,Approved
BL100669,32,Manufacturing,1.5,170300,138300,32700,12200,804000,5,1,Registered,Yes,2192000,Urban,Working Capital,Yes,Approved
